Layer_Index,Input_Feature_Map,Output_Feature_Map,Weight,Computation
1,108845994.070548,186820485.748462,16928203.8117313,5653992.87423126
2,41619436.6775562,69965591.6439375,2145057.48863542,516094.488635416
3,184137219.237763,240134020.952833,52803461.80975,9861857.80975
4,43076498.6210938,21006387.1510417,3255795.2421875,580496.2421875
5,28288672.5869146,2343343.484375,404738.2421875,96959.2421875
6,30288268.4428708,11543899.0598958,2171035.86328125,387207.36328125
7,48732374.279075,44927554.3896292,10836768.1948146,1873498.19481458
8,5918920.25825208,10166525.4659,5383259.06628333,2751698.06628333
9,35795995.0520833,6182189.875,674223.604166667,225342.104166667
10,44804203.9333,79298033.7332042,5426892.69993542,645112.199935416
11,28843622.5584625,21008330.23385,697774.283591667,161376.450258333
12,44804203.9333,80023033.7332042,5426892.69993542,645112.199935416
13,64241298.3339583,168847506.992221,20829690.8294438,2903150.82944375
14,35259375.5342604,69794927.9025083,34598749.6179208,18810004.6179208
15,48089163.7978042,40996387.8578792,2901950.59560625,510616.59560625
16,20046343,7288274.66666667,2051214,308814
17,15283336.625,1012988,243709,51469
18,23942948.5,21637706,4102428,617628
19,14559468.1492521,10272974.4508458,7380936.39208958,586453.892089585
20,2152082.03399036,4174746.44830417,2190390.89081875,1143671.89081875
21,26518632.25,8276193.66666667,918342,280262
22,17853284.0565313,62508021.2261208,1648739.27972708,211128.779727084
23,10773837.046225,3011727.01822917,248030.80078125,45126.42578125
24,30689836.2053292,13525538.4879792,3403228.41065625,301528.410656251
25,23781576.1547854,12120016.8499333,5365774.7583,675691.758300001
26,4422825.64118177,6595429.64343333,3478262.48838333,1925837.15505
27,23664704.2631167,5474548.30247083,996468.786652083,249011.651235417
28,18602149.6072938,10066771.0958417,2713609.9645875,232201.2145875
29,10446572.3632,2856207.86946667,246331.643066667,43427.2680666667
30,18602149.6072938,11103604.429175,2713609.9645875,232201.2145875
31,23603121.5082813,30665552.814575,6858045.9072875,732770.407287498
32,3545713.74024115,5383781.6412875,2993834.32064375,1441408.98731042
33,22938769.5713542,5514151.20207917,986624.403122917,239167.26770625
34,17985807.9444167,28009725.9443375,3043447.22216875,255460.972168751
35,9986433.17129583,6535316.34567917,397926.83950625,57017.8395062499
36,17144978.2268521,62731693.7407417,1637033.87037083,199423.370370834
37,20047004.2345917,24485958.2565083,10265275.9615875,921729.461587499
38,4499695.7469849,7219123.3977625,4774532.86554792,1983317.86554792
39,22542180.5037771,5466186.59844167,981246.267970834,233789.132554167
40,17600705.25,11173324.6666667,3445604,251204
41,23050785.0226188,2884669.1469375,502807.32346875,151847.07346875
42,37632665.3058708,16304605.2234833,5305877.86174167,401902.611741667
43,30642948.5416667,83922062.2916667,10483472.8125,912272.8125
44,10596638.546082,18127799.769675,9093297.8848375,4953544.55150417
45,21815619.1791354,9041649.45707083,2977631.39520208,421916.395202083
46,6082631.406475,21494893.6810542,883811.94469375,74643.5071937504
47,3172897.10071875,3770676.90287917,136711.545189583,14928.7014395834
48,11244320.8902875,33875698.56115,1627510.86390833,119384.780575
49,9434969.2592612,11260237.4074083,3031543.70370417,236143.703704166
50,2660950.2779987,3434163.62435417,2313324.06217708,997595.312177083
51,15455817.9866104,14678809.6131083,800674.254470833,153394.973220833
52,8104444.03365417,8774088.13461667,1198930.40064167,70024.7339749994
53,2604045.42392917,2208631.2415875,259788.501002083,17514.9541270832
54,15500079.9204729,29499895.3485583,2078381.01802917,140137.174279166
55,11817861.5474167,9084776.53287916,4331159.95914791,341538.266439582
56,1494042.33443932,2823858.30228333,2250844.171975,277263.984475
57,12343268.6113104,14870927.7785792,760920.83720625,113641.55595625
58,2171701.23353333,4685070.73412917,1560956.91393958,48327.3670645833
