Layer_Index,Input_Feature_Map,Output_Feature_Map,Weight,Computation
1,122991189.379779,216662001.821442,36197539.4523875,20335167.5773875
2,43090834.0255687,72558311.7727292,4447700.88636458,1872662.88636458
3,204776860.552444,290795612.278883,103770715.806108,35313486.8061083
4,43750090.2890625,23971220.4895833,6885703.578125,2083954.578125
5,28445174.5426437,2853451.52604167,849617.263020833,347325.763020833
6,31101652.1705729,13515507.1041667,4590469.05208333,1389303.05208333
7,52525061.5064083,54577755.8996625,19919681.4498313,6703807.28316458
8,6143620.0203125,10600538.5234375,5723175.26171875,2967621.26171875
9,36089262.0731333,7337357.9592,1435155.56293333,809217.812933333
10,45569659.0269708,82607654.1078792,10878286.2206062,2315755.72060625
11,28993786.2026812,21846818.1440583,1272966.1553625,579037.072029167
12,45569659.0269708,83329737.4412125,10878286.2206062,2315755.72060625
13,70918464.7449833,183850315.188983,36835886.5944917,10404138.2611583
14,36577110.9817375,72498937.155925,36700962.2446292,20168259.2446292
15,48641972.9418604,43616074.4341083,6113418.88372083,1831709.88372083
16,20613533.4863292,8881724.296875,4312140.8984375,1109434.6484375
17,15370864.8173833,1280553.63020833,498965.7734375,184972.6484375
18,25108854.1621083,24828254.4322917,8623904.29947917,2218735.54947917
19,15749766.1334625,13310041.454425,14593199.0605458,2102279.06054583
20,2232119.75126224,4347572.541475,2321296.2707375,1226480.7707375
21,26841311.5234375,9721427.42708333,1969700.546875,1007108.046875
22,18114689.892625,63598469.5705,3105169.70191667,759102.951916666
23,10823693.8925792,3245037.73697917,429928.868489583,162146.368489583
24,31058911.4002604,15084014.2677083,6782091.30052083,1084453.80052083
25,25152583.0234104,15612232.5327167,9499070.09969167,2424299.59969167
26,4546623.14623255,6863377.2192625,3676829.27629792,2060310.94296458
27,23974327.671175,6761391.93469583,2036843.72776458,895558.467347916
28,18867454.2954021,11264256.5149458,5391769.34080625,833610.590806251
29,10479666.1826167,3083799.8138,423547.4069,155764.9069
30,18867454.2954021,12308006.5149458,5391769.34080625,833610.590806251
31,25100475.8672083,34463015.544475,11870443.9389042,2630043.43890417
32,3659068.67640833,5603073.11497083,3170385.55748542,1553867.22415208
33,23231603.6600479,6759562.55685417,2001220.70551042,859935.44509375
34,18322233.8977875,29336271.4244792,6044230.37890625,919900.37890625
35,10100373.8182271,6831299.73749167,719168.5354125,205197.0354125
36,17408450.7661625,63763975.5646542,3064047.69899375,717980.94899375
37,22198826.5146854,29271457.1454,18570150.4060333,3313228.90603334
38,4634066.95786823,7496210.1558,5042491.41123333,2123090.41123333
39,22855496.6120458,6682942.69817917,1983181.60950625,841896.349089583
40,18081181.6672583,12478336.7793542,6775216.30634375,903710.056343749
41,23393470.9834271,3675382.29545417,1076045.14772708,546578.647727083
42,38136161.9614896,18388541.8459583,10248064.9229792,1445745.92297917
43,32562937.3912208,88663480.8219417,17722098.7443042,3284023.74430417
44,10951766.9788333,18844853.5011583,9625031.0839125,5314363.0839125
45,22785841.5850687,11238218.5277792,6216815.93055625,1519513.43055625
46,6255157.25479583,21881816.8625083,1557390.72292083,268417.597920834
47,3191292.61116042,3848025.6113125,223471.902010417,53694.7223229166
48,11396446.18655,34496583.0795375,2961614.58143542,429535.373102084
49,9911345.76951745,12484851.1001792,5305785.44592292,849096.383422916
50,2727456.46055911,3573260.194,2445431.347,1067706.097
51,15660873.5867813,15477218.6804542,1583625.14231042,552391.173560417
52,8191606.55719167,9139946.5621,2148937.73938333,251974.78105
53,2636715.57845,2299730.8203125,449268.498697917,62998.0768229167
54,15674811.1143833,30221936.7908667,3594001.9996,503949.562100001
55,12630826.5845021,10842081.8826208,7216347.79026875,1233086.77464375
56,1514192.56919297,2860644.446625,2364182.43164583,297594.556645833
57,12492104.8372313,15458681.0155875,1440314.64321042,409080.674460417
58,2235070.30070833,4940707.90283333,3380425.88891667,176145.951416667
